ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
hypospadias	ipospadjas	hypospadias	NOM	NOM	m			#_i|p_o_s|p_a|d_j_a_s	h_y|p_o_s|p_a|d_i_a_s	0	0,01
hypostase	ipostaz	hypostase	NOM	NOM	f	s		#_i|p_o_s|t_a_z_#	h_y|p_o_s|t_a_s_e	0	0,01
hypotendu	ipot@dy	hypotendu	ADJ	ADJ,NOM	m	s		#_i|p_o|t_@|d_y	h_y|p_o|t_en|d_u	0	0,01
hypotendue	ipot@dy	hypotendu	ADJ	ADJ	f	s		#_i|p_o|t_@|d_y_#	h_y|p_o|t_en|d_u_e	0	0,01
hypotensif	ipot@sif	hypotensif	ADJ	ADJ	m	s		#_i|p_o|t_@|s_i_f	h_y|p_o|t_en|s_i_f	0	0,01
hypotensive	ipot@siv	hypotensif	ADJ	ADJ	f	s		#_i|p_o|t_@|s_i_v_#	h_y|p_o|t_en|s_i_v_e	0	0,01
hypothéquait	ipotekE	hypothéquer	VER	VER			ind:imp:3s;	#_i|p_o|t_e|k_E	h_y|p_o|th_é|qu_ait	0,14	0,01
hypothéquant	ipotek@	hypothéquer	VER	VER			par:pre;	#_i|p_o|t_e|k_@	h_y|p_o|th_é|qu_ant	0,07	0,01
hypotonie	ipOtOni	hypotonie	NOM	NOM	f	s		#_i|p_O|t_O|n_i_#	h_y|p_o|t_o|n_i_e	0	0,01
hysope	izOp	hysope	NOM	NOM	f	s		#_i|z_O_p_#	h_y|s_o_p_e	0,07	0,01
hystéro	isteRo	hystéro	NOM	ADJ,NOM		s		#_i_s|t_e|R_o	h_y_s|t_é|r_o	0,2	0,01
hâlé	ale	hâler	VER	VER,ADJ	m	s	par:pas;	#_a|l_e	h_â|l_é	0,54	0,01
hâtai	atE	hâter	VER	VER			ind:pas:1s;	#_a|t_E	h_â|t_ai	1,28	0,01
hâtais	atE	hâter	VER	VER			ind:imp:1s;	#_a|t_E	h_â|t_ais	0,47	0,01
hâtant	at@	hâter	VER	VER			par:pre;	#_a|t_@	h_â|t_ant	2,64	0,01
hâtera	at°Ra	hâter	VER	VER			ind:fut:3s;	#_a|t_°|R_a	h_â|t_e|r_a	0,2	0,01
hâtes	at	hâter	VER	NOM,VER			ind:pre:2s;	#_a_t_#	h_â_t_es	0	0,01
hâtée	ate	hâter	VER	VER	f	s	par:pas;	#_a|t_e_#	h_â|t_é_e	0,2	0,01
hâve	av	hâve	ADJ	ADJ		s		#_a_v_#	h_â_v_e	0,61	0,01
héberge	ebERZ	héberge	NOM	NOM,VER	f	s		#_e|b_E_R_Z	h_é|b_e_r_ge	0	0,01
hébergeais	ebERZE	héberger	VER	VER			ind:imp:1s;ind:imp:2s;	#_e|b_E_R|Z_E	h_é|b_e_r|ge_ais	0,14	0,01
hébergées	ebERZe	héberger	VER	VER	f	p	par:pas;	#_e|b_E_R|Z_e_#	h_é|b_e_r|g_é_es	0,07	0,01
hébétée	ebete	hébété	NOM	VER,ADJ,NOM	f	s		#_e|b_e|t_e_#	h_é|b_é|t_é_e	0,68	0,01
hébétés	ebete	hébété	ADJ	VER,ADJ,NOM	m	p		#_e|b_e|t_e_#	h_é|b_é|t_é_s	0,74	0,01
héla	ela	héler	VER	VER			ind:pas:3s;	#_e|l_a	h_é|l_a	1,69	0,01
hélait	elE	héler	VER	VER			ind:imp:3s;	#_e|l_E	h_é|l_ait	0,14	0,01
hélez	ele	héler	VER	VER			imp:pre:2p;	#_e|l_e	h_é|l_ez	0	0,01
hélico	eliko	hélico	ADV	ADV				#_e|l_i|k_o	h_é|l_i|c_o	0	0,01
hélicoïdale	elikoidal	hélicoïdal	ADJ	ADJ	f	s		#_e|l_i|k_o|i|d_a_l_#	h_é|l_i|c_o|ï|d_a_l_e	0	0,01
héliographe	eljOgRaf	héliographe	NOM	NOM	m	s		#_e|l_j_O|g_R_a_f_#	h_é|l_i_o|g_r_a_ph_e	0	0,01
héliporter	elipORte	héliporter	VER	VER			inf;	#_e|l_i|p_O_R|t_e	h_é|l_i|p_o_r|t_er	0,07	0,01
héliporté	elipORte	héliporté	ADJ	VER,ADJ	m	s		#_e|l_i|p_O_R|t_e	h_é|l_i|p_o_r|t_é	0	0,01
héliportée	elipORte	héliporter	VER	VER,ADJ	f	s	par:pas;	#_e|l_i|p_O_R|t_e_#	h_é|l_i|p_o_r|t_é_e	0	0,01
héliportés	elipORte	héliporter	VER	VER,ADJ	m	p	par:pas;	#_e|l_i|p_O_R|t_e_#	h_é|l_i|p_o_r|t_é_s	0	0,01
hélitreuiller	elitR9je	hélitreuiller	VER	VER			inf;	#_e|l_i|t_R_9|j_e	h_é|l_i|t_r_eu|ill_er	0	0,01
hématologique	ematOlOZik	hématologique	ADJ	ADJ	f	s		#_e|m_a|t_O|l_O|Z_i_k_#	h_é|m_a|t_o|l_o|g_i_qu_e	0	0,01
hémiplégique	emipleZik	hémiplégique	ADJ	ADJ,NOM		s		#_e|m_i|p_l_e|Z_i_k_#	h_é|m_i|p_l_é|g_i_qu_e	0,07	0,01
hémisphérique	emisfeRik	hémisphérique	ADJ	ADJ		s		#_e|m_i_s|f_e|R_i_k_#	h_é|m_i_s|ph_é|r_i_qu_e	0,34	0,01
hémistiches	emistiS	hémistiche	NOM	NOM	m	p		#_e|m_i_s|t_i_S_#	h_é|m_i_s|t_i_ch_es	0,14	0,01
hémoglobines	emoglobin	hémoglobine	NOM	NOM	f	p		#_e|m_o|g_l_o|b_i_n_#	h_é|m_o|g_l_o|b_i_n_es	0,07	0,01
hémophiles	emofil	hémophile	NOM	ADJ,NOM	m	p		#_e|m_o|f_i_l_#	h_é|m_o|ph_i_l_es	0,07	0,01
hémoptysies	emoptizi	hémoptysie	NOM	NOM	f	p		#_e|m_o_p|t_i|z_i_#	h_é|m_o_p|t_y|s_i_es	0,34	0,01
hémorroïdaire	emOROidER	hémorroïdaire	ADJ	ADJ		s		#_e|m_O|R_O|i|d_E_R_#	h_é|m_o|rr_o|ï|d_ai_r_e	0	0,01
hémorroïdale	emoRoidal	hémorroïdal	ADJ	ADJ	f	s		#_e|m_o|R_o|i|d_a_l_#	h_é|m_o|rr_o|ï|d_a_l_e	0	0,01
hépatique	epatik	hépatique	NOM	ADJ,NOM		s		#_e|p_a|t_i_k_#	h_é|p_a|t_i_qu_e	0	0,01
hépatomégalie	epatOmegali	hépatomégalie	NOM	NOM	f	s		#_e|p_a|t_O|m_e|g_a|l_i_#	h_é|p_a|t_o|m_é|g_a|l_i_e	0	0,01
hérauts	eRo	héraut	NOM	NOM	m	p		#_e|R_o_#	h_é|r_au_ts	0,61	0,01
hérissait	eRisE	hérisser	VER	VER			ind:imp:3s;	#_e|R_i|s_E	h_é|r_i|ss_ait	1,08	0,01
hérisses	eRis	hérisser	VER	VER			ind:pre:2s;	#_e|R_i_s_#	h_é|r_i_ss_es	0,07	0,01
héritées	eRite	hériter	VER	VER	f	p	par:pas;	#_e|R_i|t_e_#	h_é|r_i|t_é_es	0,27	0,01
hésitai	ezitE	hésiter	VER	VER			ind:pas:1s;	#_e|z_i|t_E	h_é|s_i|t_ai	4,26	0,01
hésitaient	ezitE	hésiter	VER	VER			ind:imp:3p;	#_e|z_i|t_E	h_é|s_i|t_aient	3,11	0,01
hétérodoxes	eteRodOks	hétérodoxe	NOM	ADJ,NOM		p		#_e|t_e|R_o|d_O_ks_#	h_é|t_é|r_o|d_o_x_es	0,14	0,01
hétérozygote	eteRozigOt	hétérozygote	ADJ	ADJ		s		#_e|t_e|R_o|z_i|g_O_t_#	h_é|t_é|r_o|z_y|g_o_t_e	0	0,01
hévéa	evea	hévéa	NOM	NOM	m	s		#_e|v_e|a	h_é|v_é|a	0,14	0,01
hôteliers	ot°lje	hôtelier	NOM	ADJ,NOM	m	p		#_o|t_°|l_j_e_#	h_ô|t_e|l_i_er_s	0,2	0,01
hôtelières	ot°ljER	hôtelier	ADJ	ADJ	f	p		#_o|t_°|l_j_E_R_#	h_ô|t_e|l_i_è_r_es	0,07	0,01
ibère	ibER	ibère	NOM	ADJ,NOM		s		i|b_E_R_#	i|b_è_r_e	0	0,01
iconoclastes	ikonoklast	iconoclaste	NOM	ADJ,NOM		p		i|k_o|n_o|k_l_a_s_t_#	i|c_o|n_o|c_l_a_s_t_es	0,2	0,01
