ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
cellules	selyl	cellule	NOM	f	p	42.98	46.28	11.92	10.95		2	3	0	8	5	CVCCVCVC	CVCVC	0	2	8	5	se-lyl	2	CV-CVC	selullec	lyles	cel-lu-les	NOM,ADJ	96	29	2.65	1.9	cellule	1
cellules	selyl	cellules	ADJ	f	s	0.01	0.00	0.01	0.00		2	3	1	8	5	CVCCVCVC	CVCVC	0	2	8	5	se-lyl	2	CV-CVC	selullec	lyles	cel-lu-les	NOM,ADJ			2.65	1.9	cellules	1
cellulite	selylit	cellulite	NOM	f	s	0.66	1.15	0.56	1.08		1	2	1	9	7	CVCCVCVCV	CVCVCVC	0	0	9	6	se-ly-lit	3	CV-CV-CVC	etilullec	tilyles	cel-lu-li-te	NOM	100	24	3.15	2.65	cellule-ite	2
cellulites	selylit	cellulite	NOM	f	p	0.66	1.15	0.10	0.07		1	2	0	10	7	CVCCVCVCVC	CVCVCVC	0	0	0	6	se-ly-lit	3	CV-CV-CVC	setilullec	tilyles	cel-lu-li-tes	NOM	100	24	3.4	2.65	cellule-ite	2
cipolin	sipol5	cipolin	NOM	m	s	0.00	0.07	0.00	0.07		1	1	1	7	6	CVCVCVC	CVCVCV	1	2	4	5	si-po-l5	3	CV-CV-CV	nilopic	5lopis	ci-po-lin	NOM	4	21	2.8	2.5	cipolin	1
codifiée	kodifje	codifier	VER	f	s	0.07	0.88	0.03	0.27	par:pas;	1	4	0	8	7	CVCVCVVV	CVCVCYV	1	4	0	6	ko-di-fje	3	CV-CV-CYV	eéifidoc	ejfidok	co-di-fiée	VER	96	26	2.1	1.8	codifier	1
commettrait	komEtRE	commettre	VER			47.45	37.16	0.23	0.27	cnd:pre:3s;	1	4	0	11	7	CVCCVCCCVVC	CVCVCCV	1	3	0	0	ko-mE-tRE	3	CV-CV-CCV	tiarttemmoc	ERtEmok	com-met-trait	VER	94	17	2.25	1.65	commettre	1
concierges	k§sjERZ	concierge	NOM		p	11.15	29.05	0.34	3.65		1	2	0	10	7	CVCCVVCCVC	CVCYVCC	0	0	0	7	k§-sjERZ	2	CV-CYVCC	segreicnoc	ZREjs§k	con-cier-ges	NOM	100	8	2.9	2.25	concierge	1
confessions	k§fesj§	confession	NOM	f	p	12.84	10.00	2.05	2.23		1	2	0	11	7	CVCCVCCVVCC	CVCVCYV	1	1	0	6	k§-fe-sj§	3	CV-CV-CYV	snoissefnoc	§jsef§k	con-fes-sions	NOM	95	24	2.5	2.15	confesser-ion	2
destructeurs	destRykt9R	destructeur	ADJ	m	p	2.84	2.77	0.28	0.27		2	4	0	12	10	CVCCCVCCVVCC	CVCCCVCCVC	0	0	0	9	des-tRyk-t9R	3	CVC-CCVC-CVC	sruetcurtsed	R9tkyRtsed	des-truc-teurs	ADJ,NOM	100	23	3.35	2.95	destruct-eur	2
dindon	d5d§	dindon	NOM	m	s	1.73	1.35	1.23	0.74		1	2	1	6	4	CVCCVC	CVCV	3	2	6	4	d5-d§	2	CV-CV	nodnid	§d5d	din-don	NOM	91	12	1.8	1.85	dindon	1
déboîtées	debwate	déboîter	VER	f	p	0.96	1.08	0.00	0.07	par:pas;	1	5	0	9	7	CVCVVCVVC	CVCYVCV	0	4	0	7	de-bwa-te	3	CV-CYV-CV	seétîobéd	etawbed	dé-boî-tées	VER	100	21	2.1	1.7	déboîter	1
déménagée	demenaZe	déménager	VER	f	s	32.40	10.34	0.07	0.14	par:pas;	1	5	0	9	8	CVCVCVCVV	CVCVCVCV	1	4	0	8	de-me-na-Ze	4	CV-CV-CV-CV	eéganéméd	eZanemed	dé-mé-na-gée	VER	100	22	2.3	1.65	déménager	1
déshumidification	dezymidifikasj§	déshumidification	NOM	f	s	0.10	0.00	0.10	0.00		1	1	1	17	15	CVCCVCVCVCVCVCVVC	CVCVCVCVCVCVCYV	0	0	7	6	de-zy-mi-di-fi-ka-sj§	7	CV-CV-CV-CV-CV-CV-CYV	noitacifidimuhséd	§jsakifidimyzed		NOM			5.85	5.25	dé1-humide-ifier-ion	4
désuètes	dez8Et	désuet	ADJ	f	p	0.36	3.38	0.14	0.54		1	2	0	8	6	CVCVVCVC	CVCYVC	0	0	0	0	de-z8Et	2	CV-CYVC	setèuséd	tE8zed	dé-suè-tes	ADJ	92	25	2.5	2.25	désuet	1
enfiche	@fiS	enficher	VER			0.00	0.07	0.00	0.07	ind:pre:1s;	1	1	0	7	4	VCCVCCV	VCVC	1	3	0	0	@-fiS	2	V-CVC	ehcifne	Sif@	en-fi-che	VER			2.2	1.75	enficher	1
fainéante	fene@t	fainéant	NOM	f	s	3.87	1.69	0.37	0.14		3	3	0	9	6	CVVCVVCCV	CVCVVC	1	1	0	0	fe-ne-@t	3	CV-CV-VC	etnaéniaf	t@enef	fai-néan-te	ADJ,NOM,VER	95	20	2.45	2.4	fainéant	1
femmelettes	fam°lEt	femmelette	NOM	f	p	1.34	0.47	0.24	0.00		1	2	0	11	7	CVCCVCVCCVC	CVCVCVC	0	0	0	4	fa-m°-lEt	3	CV-CV-CVC	settelemmef	tEl°maf	fem-me-let-tes	NOM	93	30	3.65		femme-ette	2
flirta	fl9Rta	flirter	VER			7.06	3.04	0.02	0.14	ind:pas:3s;	1	1	0	6	6	CCVCCV	CCVCCV	3	4	0	0	fl9R-ta	2	CCVC-CV	atrilf	atR9lf	flir-ta	VER	100	21	1.8	1.75	flirter	1
gibelin	Zib°l5	gibelin	NOM	m	s	0.01	0.14	0.01	0.00		1	2	1	7	6	CVCVCVC	CVCVCV	1	1	6	6	Zi-b°-l5	3	CV-CV-CV	nilebig	5l°biZ	gi-be-lin	NOM	10	19	2.55		gibelin	1
horripilants	oRipil@	horripilant	ADJ	m	p	0.28	0.68	0.00	0.20		1	3	0	12	7	CVCCVCVCVCCC	VCVCVCV	1	2	0	7	o-Ri-pi-l@	4	V-CV-CV-CV	stnalipirroh	@lipiRo	hor-ri-pi-lants	ADJ	93	16	2.95	2.55	horripilant	1
humeur	ym9R	humeur	NOM	f	s	31.26	58.04	29.80	52.57		1	2	1	6	4	CVCVVC	VCVC	4	3	5	3	y-m9R	2	V-CVC	ruemuh	R9my	hu-meur	NOM	100	18	1.7	1.65	humeur	1
insultante	5sylt@t	insultant	ADJ	f	s	1.90	3.24	0.41	0.68		1	2	0	10	7	VCCVCCVCCV	VCVCCVC	1	0	0	0	5-syl-t@t	3	V-CVC-CVC	etnatlusni	t@tlys5	in-sul-tan-te	ADJ	100	33	2.4	2.15	insultant	1
interprétèrent	5tERpRetER	interpréter	VER			9.50	12.64	0.10	0.14	ind:pas:3p;	1	1	0	14	10	VCCVCCCVCVCVCC	VCVCCCVCVC	0	1	0	0	5-tER-pRe-tER	4	V-CVC-CCV-CVC	tnerètérpretni	REteRpREt5	in-ter-pré-tè-rent	VER	94	19	3.45	2.7	interpréter	1
lettre-clé	lEtRkle	lettre-clé	NOM	f	s	0.14	0.00	0.14	0.00		1	1	1	10	7	CVCCCV-CCV	CVCCCCV	0	0	7	5	lEt-Rkle	2	CVC-CCCV	élc-erttel	elkRtEl	lettre-clé	NOM			4.55	2.9	lettre-clé	2
levreaux	l°vRo	levreau	NOM	m	p	0.00	0.14	0.00	0.07		1	2	0	8	5	CVCCVVVC	CVCCV	0	1	0	5	l°-vRo	2	CV-CCV	xuaervel	oRv°l	le-vreaux	NOM	56	25	2.8	1.95	levreau	1
libertins	libERt5	libertin	ADJ	m	p	1.29	1.76	0.16	0.34		2	4	0	9	7	CVCVCCVCC	CVCVCCV	1	1	0	7	li-bER-t5	3	CV-CVC-CV	snitrebil	5tREbil	li-ber-tins	ADJ,NOM	95	22	2.65	2.65	libertin	1
mandarines	m@daRin	mandarine	NOM	f	p	1.17	3.11	0.56	1.01		1	3	0	10	7	CVCCVCVCVC	CVCVCVC	0	0	0	7	m@-da-Rin	3	CV-CV-CVC	seniradnam	niRad@m	man-da-ri-nes	NOM	95	20	2.5	2.65	mandarine	1
moraillon	moRaj§	moraillon	NOM	m	s	0.00	0.07	0.00	0.07		1	1	1	9	6	CVCVVCCVC	CVCVYV	0	1	6	5	mo-Ra-j§	3	CV-CV-YV	nolliarom	§jaRom	mo-rail-lon	NOM	3	26	2.3	1.95	moraillon	1
naissain	nEs5	naissain	NOM	m	s	0.00	0.07	0.00	0.07		1	1	1	8	4	CVVCCVVC	CVCV	2	4	7	4	nE-s5	2	CV-CV	niassian	5sEn	nais-sain	NOM	12	16	2.35	1.7	naissain	1
nappe	nap	napper	VER			0.31	1.49	0.00	0.07	ind:pre:3s;	2	4	0	5	3	CVCCV	CVC	6	20	5	3	nap	1	CVC	eppan	pan	nap-pe	NOM,VER	91	24	1.55	1	napper	1
nomade	nomad	nomade	NOM		s	1.32	4.86	0.60	1.62		2	4	1	6	5	CVCVCV	CVCVC	1	1	6	5	no-mad	2	CV-CVC	edamon	damon	no-ma-de	ADJ,NOM	95	24	1.9	1.9	nomade	1
